eus,eu_desc,hs6,hs6_lumped,resolve,phase2_status,cls,h,hdesc,inpanel
300040,Lupins/lupini beans,071331,LUMPED(2→071331),auto_hs6_present,needs_confirm,OK,071331,"Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried",True
252020,Purslanes,070930,LUMPED(3→070930),auto_hs6_present,needs_arbitration,LUMPING,070930,"Vegetables: aubergines, (e.g. plants), fresh or chilled",True
250000,"Leaf vegetables, herbs and edible flowers",,,needs_review,needs_review_group,NO_HS6,,,False
280020,Wild fungi,070960,LUMPED(3→070960),auto_hs6_present,needs_arbitration,LUMPING,070960,"Vegetables: fruits of the genus capsicum or of the genus pimenta, fresh or chilled",False
213060,Parsnips,070610,LUMPED(5→070610),auto_hs6_present,needs_confirm,LUMPING,070610,"Vegetables, root: carrots and turnips, fresh or chilled",True
211000,(a) potatoes,070110,,auto_hs6_present,needs_review_group,OK,070110,"Vegetables: seed potatoes, fresh or chilled",True
256050,Sage,070951,LUMPED(3→070951),auto_hs6_present,needs_confirm,LUMPING,070951,"Vegetables: mushrooms of the genus Agaricus, fresh or chilled",False
213030,Celeriacs/turnip rooted celeries,070610,LUMPED(5→070610),auto_hs6_present,needs_arbitration,OK,070610,"Vegetables, root: carrots and turnips, fresh or chilled",True
244000,(d) kohlrabies,070690,LUMPED(5→070690),auto_hs6_present,needs_review_group,catchall,070690,"Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",True
830990,Others (2),090619,,auto_hs6_present,excluded_nec,OK,090619,"Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",True
270990,Others (2),070940,LUMPED(11→070940),auto_hs6_present,excluded_nec,OK,070940,"Vegetables: celery (other than celeriac), fresh or chilled",False
256070,Thyme,070940,LUMPED(11→070940),auto_hs6_present,needs_confirm,LUMPING,070940,"Vegetables: celery (other than celeriac), fresh or chilled",False
1050000,Amphibians and Reptiles,,,,needs_review_group,NO_HS6,,,False
256040,Parsley,070920,LUMPED(6→070920),auto_hs6_present,needs_arbitration,LUMPING,070920,"Vegetables: asparagus, fresh or chilled",False
163100,Durians,081060,,vn_finalized,verified_high,OK,081060,"Fruit, edible: durians, fresh",True
242020,Head cabbages,070410,LUMPED(8→070410),auto_hs6_present,needs_arbitration,OK,070410,"Vegetables, brassica: cauliflowers and headed broccoli, fresh or chilled",True
130050,Loquats/Japanese medlars,080830,LUMPED(4→080830),auto_hs6_present,needs_arbitration,LUMPING,080830,"Fruit, edible: pears, fresh",True
300000,PULSES,071310,LUMPED(3→071310),auto_hs6_present,needs_review_group,LUMPING,071310,"Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried",True
870000,Aril spices,090811,LUMPED(2→090811),auto_hs6_present,needs_review_group,OK,090811,"Spices: nutmeg, neither crushed nor ground",True
401050,Sunflower seeds,120600,,auto_sci_name,needs_review_noanchor,OK,120600,"Oil seeds: sunflower seeds, whether or not broken",True
110030,Lemons,080550,LUMPED(2→080550),vn_finalized,verified_high,OK,080550,"Fruit, edible: lemons (Citrus limon, Citrus limonum), limes (Citrus aurantifolia , Citrus latifolia), fresh or dried",True
1011040,Kidney,,,,needs_review_noanchor,NO_HS6,,,False
260010,Beans (with pods),070820,LUMPED(2→070820),auto_hs6_present,needs_confirm,OK,070820,"Vegetables, leguminous: beans (vigna spp., phaseolus spp.), shelled or unshelled, fresh or chilled",True
632010,Strawberry,121190,LUMPED(13→121190),auto_herbal_infusion,needs_review_noanchor,UMBRELLA/multi,121190,"Plants and parts (including seeds and fruits) n.e.c. in heading no. 1211, used primarily in perfumery, pharmacy or for insecticidal, fungicidal purposes: fresh or dried, whether or not cut, crushed or powdered",True
1012040,Kidney,,,,needs_review_noanchor,NO_HS6,,,False
810030,Celery,090921,LUMPED(7→090921),auto_hs6_present,needs_arbitration,LUMPING,090921,"Spices: coriander seeds, neither crushed nor ground",True
401070,Soyabeans,120190,,auto_sci_name,needs_review_noanchor,ERROR,120190,"Soya beans: other than seed, whether or not broken",True
300010,Beans,071331,LUMPED(2→071331),auto_verified,verified_high,OK,071331,"Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried",True
401080,Mustard seeds,120750,LUMPED(2→120750),auto_sci_name,needs_review_noanchor,OK,120750,"Oil seeds: mustard seeds, whether or not broken",True
130000,Pome fruits,080810,LUMPED(2→080810),auto_hs6_present,needs_review_group,OK,080810,"Fruit, edible: apples, fresh",True
154990,Others (2),081040,LUMPED(8→081040),auto_hs6_present,excluded_nec,OK,081040,"Fruit, edible: cranberries, bilberries and other fruits of the genus vaccinium, fresh",False
500990,Others (2),,,excluded_nec,excluded_nec,NO_HS6,,,False
254000,(d) watercresses,070930,LUMPED(3→070930),auto_hs6_present,needs_review_group,catchall,070930,"Vegetables: aubergines, (e.g. plants), fresh or chilled",True
401150,Castor beans,120730,LUMPED(2→120730),auto_sci_name,needs_review_noanchor,OK,120730,"Oil seeds: castor oil seeds, whether or not broken",True
800000,SPICES,,,needs_review,needs_review_group,NO_HS6,,,False
162060,American persimmons/Virginia kaki,081070,LUMPED(3→081070),auto_hs6_present,needs_arbitration,OK,081070,"Fruit, edible: persimmons, fresh",True
242010,Brussels sprouts,070420,LUMPED(2→070420),auto_verified,verified_high,OK,070420,"Vegetables, brassica: brussel sprouts, fresh or chilled",True
1014000,d) goat,,,,needs_review_group,NO_HS6,,,False
830000,Bark spices,090611,LUMPED(2→090611),auto_hs6_present,needs_review_group,OK,090611,"Spices: cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground",True
401100,Pumpkin seeds,120799,LUMPED(2→120799),auto_sci_name,needs_review_noanchor,UMBRELLA/multi,120799,"Oil seeds and oleaginous fruits: n.e.c. in heading no. 1207, whether or not broken",True
163050,Granate apples/pomegranates,080390,LUMPED(4→080390),auto_hs6_present,needs_arbitration,LUMPING,080390,"Fruit, edible: bananas, other than plantains, fresh or dried",True
900020,Sugar canes,121293,,auto_sci_name,needs_review_noanchor,UMBRELLA/multi,121293,"Sugar cane: fit for human consumption, fresh, chilled, frozen or dried, whether or not ground",True
220990,Others (2),070390,LUMPED(2→070390),auto_hs6_present,excluded_nec,UMBRELLA/multi,070390,"Vegetables, alliaceous: leeks and other kinds n.e.c. in heading no. 0703, fresh or chilled",True
1020040,Horse,,,,needs_review_noanchor,NO_HS6,,,False
