eu_code,eu_desc,hs6,annex1_legal_ref,release_variant
300040,Lupins/lupini beans,071390,0300040 Lupins/lupini beans | Lupinus albus subsp. albus; Lupinus angustifolius; Lupinus luteus; Lupinus mutabilis,CORE_RAC_ONLY
252020,Purslanes,070999,0252020 Purslanes | Portulaca oleracea,CORE_RAC_ONLY
280020,Wild fungi,070959,0280020 Wild fungi,CORE_RAC_ONLY
213060,Parsnips,070690,0213060 Parsnips | Pastinaca sativa,CORE_RAC_ONLY
211000,(a) potatoes,070190,0211000  | Solanum tuberosum subsp. tuberosum,CORE_RAC_ONLY
256050,Sage,070999,0256050 Sage | Salvia officinalis,CORE_RAC_ONLY
213030,Celeriacs/turnip rooted celeries,070690,0213030 Celeriacs/turnip rooted celeries | Apium graveolens var. rapaceum,CORE_RAC_ONLY
244000,(d) kohlrabies,070490,"0244000 Whole product after removal of roots, tops and soil | Brassica oleracea var. gongylodes",CORE_RAC_ONLY
256070,Thyme,070999,0256070 Thyme | Thymus vulgaris,CORE_RAC_ONLY
256040,Parsley,070999,0256040 Parsley | Petroselinum crispum,CORE_RAC_ONLY
163100,Durians,081060,0163100 Durians | Durio zibethinus,CORE_RAC_ONLY
242020,Head cabbages,070490,0242020 Head cabbages | Brassica oleracea var. capitata,CORE_RAC_ONLY
130050,Loquats/Japanese medlars,081090,0130050 Loquats/Japanese medlars | Eriobotrya japonica,CORE_RAC_ONLY
401050,Sunflower seeds,120600,0401050 Sunflower seeds | Helianthus annuus,CORE_RAC_ONLY
110030,Lemons,080550,0110030 Lemons | Citrus limon,CORE_RAC_ONLY
260010,Beans (with pods),070820,0260010 Beans (with pods) | Phaseolus vulgaris,CORE_RAC_ONLY
632010,Strawberry,121190,0632010 Strawberry | Fragaria x ananassa,CORE_RAC_ONLY
810030,Celery,091099,0810030 Celery | Apium graveolens,CORE_RAC_ONLY
401070,Soyabeans,120190,0401070 Soyabeans | Glycine max,CORE_RAC_ONLY
300010,Beans,071333,0300010 Beans | Phaseolus vulgaris,CORE_RAC_ONLY
401080,Mustard seeds,120750,0401080 Mustard seeds | Brassica juncea; Brassica nigra; Sinapis alba,CORE_RAC_ONLY
254000,(d) watercresses,070999,0254000  | Nasturtium officinale,CORE_RAC_ONLY
401150,Castor beans,120730,0401150 Castor beans | Ricinus communis,CORE_RAC_ONLY
162060,American persimmons/Virginia kaki,081070,0162060 American persimmons/Virginia kaki | Diospyros virginiana,CORE_RAC_ONLY
242010,Brussels sprouts,070420,0242010 Brussels sprouts | Brassica oleracea var. gemmifera,CORE_RAC_ONLY
401100,Pumpkin seeds,120799,0401100 Pumpkin seeds | Cucurbita pepo Styrian Hulless Group,CORE_RAC_ONLY
163050,Granate apples/pomegranates,081090,0163050 Granate apples/pomegranates | Punica granatum,CORE_RAC_ONLY
900020,Sugar canes,121293,0900020 Sugar canes | Saccharum officinarum,CORE_RAC_ONLY
251070,Red mustards,070999,0251070 Red mustards | Brassica juncea var. rugosa,CORE_RAC_ONLY
232020,Gherkins,070700,0232020 Gherkins | Cucumis sativus,CORE_RAC_ONLY
161010,Dates,080410,0161010 Dates | Phoenix dactylifera,CORE_RAC_ONLY
153020,Dewberries,081020,0153020 Dewberries | Rubus caesius,CORE_RAC_ONLY
233010,Melons,080719,0233010 Melons | Cucumis melo,CORE_RAC_ONLY
212010,Cassava roots/manioc,071410,0212010 Cassava roots/manioc | Manihot esculenta,CORE_RAC_ONLY
500060,Rice,100610,0500060 Rice | Oryza sativa,CORE_RAC_ONLY
232030,Courgettes,070993,0232030 Courgettes | Cucurbita pepo Zucchini Group,CORE_RAC_ONLY
220040,Spring onions/green onions and Welsh onions,070310,0220040 Spring onions/green onions and Welsh onions | Allium cepa Common Onion Group; Allium fistulosum,CORE_RAC_ONLY
213080,Radishes,070690,0213080 Radishes | Raphanus sativus Radish Group,CORE_RAC_ONLY
401090,Cotton seeds,120721,0401090 Cotton seeds | Gossypium barbadense; Gossypium herbaceum,CORE_RAC_ONLY
810060,Dill,091099,0810060 Dill | Anethum graveolens,CORE_RAC_ONLY
154060,Mulberries (black and white),081020,0154060 Mulberries (black and white) | Morus alba; Morus nigra,CORE_RAC_ONLY
402040,Kapok,120799,0402040 Kapok | Ceiba pentandra,CORE_RAC_ONLY
810070,Fennel,090961,0810070 Fennel | Foeniculum vulgare,CORE_RAC_ONLY
163110,Soursops/guanabanas,081090,0163110 Soursops/guanabanas | Annona muricata,CORE_RAC_ONLY
700000,HOPS,121010,0700000 HOPS | Humulus lupulus,CORE_RAC_ONLY
151020,Wine grapes,080610,0151020 Wine grapes | Vitis vinifera,CORE_RAC_ONLY
633010,Valerian,121190,0633010 Valerian | Valeriana officinalis,CORE_RAC_ONLY
220010,Garlic,070320,0220010 Garlic | Allium sativum,CORE_RAC_ONLY
640000,Cocoa beans,180100,0640000 Cocoa beans | Theobroma cacao,CORE_RAC_ONLY
253000,(c) grape leaves and similar species,070999,0253000  | Vitis vinifera,CORE_RAC_ONLY
401060,Rapeseeds/canola seeds,120590,0401060 Rapeseeds/canola seeds | Brassica napus subsp. napus,CORE_RAC_ONLY
154010,Blueberries,081040,0154010 Blueberries | Vaccinium angustifolium; Vaccinium corymbosum; Vaccinium formosum; Vaccinium virgatum,CORE_RAC_ONLY
401130,Gold of pleasure seeds,120799,0401130 Gold of pleasure seeds | Camelina sativa,CORE_RAC_ONLY
151010,Table grapes,080610,0151010 Table grapes | Vitis vinifera,CORE_RAC_ONLY
251020,Lettuces,070511,0251020 Lettuces | Lactuca sativa,CORE_RAC_ONLY
610000,Teas,090210,0610000 Teas | Camellia sinensis,CORE_RAC_ONLY
161040,Kumquats,080590,0161040 Kumquats | Fortunella japonica; Fortunella margarita,CORE_RAC_ONLY
140040,Plums,080940,0140040 Plums | Prunus domestica,CORE_RAC_ONLY
500040,Common milletproso millet,100829,0500040 Common millet/proso millet | Panicum miliaceum,CORE_RAC_ONLY
401030,Poppy seeds,120791,0401030 Poppy seeds | Papaver somniferum subsp. somniferum,CORE_RAC_ONLY
850010,Cloves,090710,0850010 Cloves | Syzygium aromaticum ; syn: Eugenia caryophyllata,CORE_RAC_ONLY
256010,Chervil,070999,0256010 Chervil | Anthriscus cerefolium,CORE_RAC_ONLY
500090,Wheat,100111,0500090 Wheat | Triticum aestivum,CORE_RAC_ONLY
402030,Oil palms fruits,120799,0402030 Oil palms fruits | Attalea maripa; Elaeis guineensis; Elaeis oleifera,CORE_RAC_ONLY
163070,Guavas,080450,0163070 Guavas | Psidium guajava,CORE_RAC_ONLY
153030,Raspberries (red and yellow),081020,0153030 Raspberries (red and yellow) | Rubus idaeus,CORE_RAC_ONLY
231040,Okralady's fingers,070999,0231040 Okra/lady's fingers | Abelmoschus esculentus,CORE_RAC_ONLY
256080,Basil and edible flowers,070999,0256080 Basil and edible flowers | Ocimum basilicum,CORE_RAC_ONLY
162020,Litchislychees,081090,0162020 Litchis/lychees | Litchi chinensis,CORE_RAC_ONLY
154050,Rose hips,081090,0154050 Rose hips | Rosa canina; Rosa majalis; Rosa rugosa,CORE_RAC_ONLY
260030,Peas (with pods),070810,0260030 Peas (with pods) | Pisum sativum,CORE_RAC_ONLY
280990,Mosses and lichens,070999,0280990 Mosses and lichens,CORE_RAC_ONLY
402020,Oil palms kernels,120710,0402020 Oil palms kernels | Attalea maripa; Elaeis guineensis; Elaeis oleifera,CORE_RAC_ONLY
140010,Apricots,080910,0140010 Apricots | Armeniaca vulgaris ; syn: Prunus armeniaca,CORE_RAC_ONLY
632020,Rooibos,121190,0632020 Rooibos | Aspalathus linearis,CORE_RAC_ONLY
154070,AzarolesMediterranean medlars,081090,0154070 Azaroles/Mediterranean medlars | Crataegus azarolus,CORE_RAC_ONLY
110020,Oranges,080510,0110020 Oranges | Citrus sinensis,CORE_RAC_ONLY
840040,Horseradish (11),070690,0840040 Horseradish ( 11 ) | Armoracia rusticana,CORE_RAC_ONLY
870010,Mace,090821,0870010 Mace | Myristica fragrans,CORE_RAC_ONLY
820010,Allspicepimento,090421,0820010 Allspice/pimento | Pimenta dioica ; syn: Pimenta officinalis,CORE_RAC_ONLY
260050,Lentils,070890,0260050 Lentils | Lens culinaris ; syn: Lens esculenta,CORE_RAC_ONLY
243010,Chinese cabbagespe-tsai,070490,0243010 Chinese cabbages/pe-tsai | Brassica rapa subsp. pekinensis,CORE_RAC_ONLY
231010,Tomatoes,070200,0231010 Tomatoes | Lycopersicon esculentum,CORE_RAC_ONLY
820080,Tamarind,091099,0820080 Tamarind | Tamarindus indica,CORE_RAC_ONLY
631030,Rose,121190,0631030 Rose | Rosa spp.,CORE_RAC_ONLY
900010,Sugar beet roots,121291,0900010 Sugar beet roots | Beta vulgaris ssp. vulgaris var. altissima,CORE_RAC_ONLY
850020,Capers,070999,0850020 Capers | Capparis spinosa,CORE_RAC_ONLY
820020,Sichuan pepper,091099,0820020 Sichuan pepper | Zanthoxylum spp.,CORE_RAC_ONLY
631040,Jasmine,121190,0631040 Jasmine | Jasminum officinale; Jasminum sambac,CORE_RAC_ONLY
212020,Sweet potatoes,071420,0212020 Sweet potatoes | Ipomoea batatas,CORE_RAC_ONLY
163020,Bananas,080390,0163020 Bananas | Musa acuminata; Musa balbisiana; Musa acuminata x Musa balbisiana,CORE_RAC_ONLY
270090,Palm hearts,070999,0270090 Palm hearts | Bactris gasipaes; Cocos nucifera; Daemonorops jenkinsiana; Euterpe edulis; Euterpe oleracea,CORE_RAC_ONLY
401140,Hemp seeds,120799,0401140 Hemp seeds | Cannabis sativa subsp. sativa; Cannabis sativa subsp. spontanea,CORE_RAC_ONLY
154030,"Currants (black, red and white)",081030,"0154030 Currants (black, red and white) | Ribes nigrum; Ribes rubrum",CORE_RAC_ONLY
251010,Lamb's lettucescorn salads,070999,0251010 Lamb's lettuces/corn salads | Valerianella locusta,CORE_RAC_ONLY
500070,Rye,100290,0500070 Rye | Secale cereale,CORE_RAC_ONLY
213100,Swedesrutabagas,070690,0213100 Swedes/rutabagas | Brassica napus subsp. napobrassica,CORE_RAC_ONLY
251080,Baby leaf crops (including brassica species),070519,0251080 Baby leaf crops (including brassica species),CORE_RAC_ONLY
252010,Spinaches,070970,0252010 Spinaches | Spinacia oleracea,CORE_RAC_ONLY
256060,Rosemary,070999,0256060 Rosemary | Rosmarinus officinalis,CORE_RAC_ONLY
120050,Coconuts,080119,0120050 Coconuts | Cocos nucifera,CORE_RAC_ONLY
120110,Walnuts,080231,0120110 Walnuts | Juglans nigra; Juglans regia,CORE_RAC_ONLY
830010,Cinnamon,090619,0830010 Cinnamon | Cinnamomum verum ; syn: Cinnamomum zeylanicum,CORE_RAC_ONLY
163040,Papayas,080720,0163040 Papayas | Carica papaya,CORE_RAC_ONLY
163010,Avocados,080440,0163010 Avocados | Persea americana,CORE_RAC_ONLY
270050,Globe artichokes,070991,0270050 Globe artichokes | Cynara cardunculus Globe artichoke group,CORE_RAC_ONLY
500050,Oat,100490,0500050 Oat | Avena sativa,CORE_RAC_ONLY
810040,Coriander,090921,0810040 Coriander | Coriandrum sativum,CORE_RAC_ONLY
231020,Sweet peppersbell peppers,070960,0231020 Sweet peppers/bell peppers | Capsicum annuum,CORE_RAC_ONLY
161050,Carambolas,081090,0161050 Carambolas | Averrhoa carambola,CORE_RAC_ONLY
256020,Chives,070999,0256020 Chives | Allium schoenoprasum,CORE_RAC_ONLY
212030,Yams,071430,0212030 Yams | Dioscorea spp.,CORE_RAC_ONLY
130030,Quinces,080840,0130030 Quinces | Cydonia oblonga,CORE_RAC_ONLY
290000,Algae and prokaryotes organisms,121221,0290000 Algae and prokaryotes organisms,CORE_RAC_ONLY
162030,Passionfruitsmaracujas,081090,0162030 Passionfruits/maracujas | Passiflora edulis ; syn: Passiflora laurifolia,CORE_RAC_ONLY
233020,Pumpkins,070993,0233020 Pumpkins | Cucurbita maxima,CORE_RAC_ONLY
162050,Star applescainitos,081090,0162050 Star apples/cainitos | Chrysophyllum cainito,CORE_RAC_ONLY
161070,Jambulsjambolans,081090,0161070 Jambuls/jambolans | Syzygium cuminii,CORE_RAC_ONLY
212040,Arrowroots,071490,0212040 Arrowroots | Maranta arundinacea,CORE_RAC_ONLY
110050,Mandarins,080520,0110050 Mandarins | Citrus reticulata ; syn: Citrus deliciosa,CORE_RAC_ONLY
251040,Cresses and other sprouts and shoots,070999,0251040 Cresses and other sprouts and shoots | Lepidium sativum subsp. sativum,CORE_RAC_ONLY
154040,"Gooseberries (green, red and yellow)",081030,"0154040 Gooseberries (green, red and yellow) | Ribes uva-crispa",CORE_RAC_ONLY
252030,Chards/beet leaves,070999,0252030 Chards/beet leaves | Beta vulgaris var. flavescens,CORE_RAC_ONLY
810090,Nutmeg,090811,0810090 Nutmeg | Myristica fragrans,CORE_RAC_ONLY
120020,Brazil nuts,080121,0120020 Brazil nuts | Bertholletia excelsa,CORE_RAC_ONLY
500030,Maize/corn,100590,0500030 Maize/corn | Zea mays,CORE_RAC_ONLY
810050,Cumin,090931,0810050 Cumin | Cuminum cyminum,CORE_RAC_ONLY
213010,Beetroots,070690,0213010 Beetroots | Beta vulgaris var. vulgaris,CORE_RAC_ONLY
213040,Horseradishes,070690,0213040 Horseradishes | Armoracia rusticana,CORE_RAC_ONLY
270060,Leeks,070390,0270060 Leeks | Allium ampeloprasumampeloprasum Pearl-Onion Group; syn: Allium porrum var. sectivum,CORE_RAC_ONLY
161030,Table olives,070992,0161030 Table olives | Olea europaea,CORE_RAC_ONLY
162040,Prickly pears/cactus fruits,081090,0162040 Prickly pears/cactus fruits | Opuntia ficus-indica,CORE_RAC_ONLY
500010,Barley,100390,0500010 Barley | Hordeum vulgare,CORE_RAC_ONLY
631050,Lime/linden,121190,0631050 Lime/linden | Tilia cordata; Tilia platyphyllos; Tilia tomentosa ; syn: Tilia argentea,CORE_RAC_ONLY
650000,Carobs/Saint John's breads,121292,0650000 Carobs/Saint John's breads | Ceratonia siliqua,CORE_RAC_ONLY
810080,Fenugreek,091099,0810080 Fenugreek | Trigonella foenum-graecum,CORE_RAC_ONLY
140020,Cherries (sweet),080929,0140020 Cherries (sweet) | Cerasus avium ; syn: Prunus avium,CORE_RAC_ONLY
820060,"Peppercorn (black, green and white)",090411,"0820060 Peppercorn (black, green and white) | Piper nigrum",CORE_RAC_ONLY
