hs6,year,side
090121,2011,only_old
070920,2011,only_old
070519,2016,only_old
080280,2019,only_old
070490,2013,only_old
070930,2013,only_old
090112,2013,only_old
151010,2020,only_old
070992,2014,only_old
090422,2013,only_old
070951,2012,only_old
090230,2013,only_old
090619,2012,only_old
070519,2018,only_old
100199,2013,only_old
080510,2012,only_old
070991,2011,only_old
070810,2012,only_old
080450,2014,only_old
080280,2017,only_old
100310,2014,only_old
090831,2014,only_old
121299,2018,only_old
090111,2012,only_old
080590,2023,only_old
080590,2022,only_old
080261,2011,only_old
100620,2012,only_old
070959,2011,only_old
081090,2020,only_old
090710,2014,only_old
090121,2021,only_old
070110,2013,only_old
080590,2015,only_old
080810,2014,only_old
080921,2021,only_old
070700,2012,only_old
151010,2018,only_old
090421,2012,only_old
081070,2013,only_old
100210,2014,only_old
080840,2012,only_old
080720,2013,only_old
081090,2016,only_old
090811,2013,only_old
080410,2011,only_old
081040,2013,only_old
080540,2012,only_old
071490,2011,only_old
071430,2011,only_old
080211,2011,only_old
100119,2012,only_old
080280,2023,only_old
070890,2014,only_old
080280,2022,only_old
071420,2011,only_old
080119,2013,only_old
080251,2013,only_old
080112,2011,only_old
120730,2012,only_old
081090,2018,only_old
091091,2011,only_old
080280,2015,only_old
100630,2014,only_old
070310,2012,only_old
070930,2012,only_old
080930,2012,only_old
070970,2012,only_old
090821,2014,only_old
090422,2012,only_old
090121,2013,only_old
071331,2012,only_old
120510,2013,only_old
070519,2014,only_old
120730,2014,only_old
080921,2013,only_old
071331,2019,only_old
080610,2014,only_old
081060,2014,only_old
070940,2014,only_old
081030,2014,only_old
080711,2012,only_old
121299,2014,only_old
091091,2020,only_old
080232,2014,only_old
081010,2014,only_old
080390,2011,only_old
080231,2013,only_old
100510,2013,only_old
080719,2014,only_old
120190,2011,only_old
080430,2014,only_old
071331,2017,only_old
080929,2014,only_old
070110,2012,only_old
070690,2011,only_old
080261,2013,only_old
151010,2014,only_old
070999,2011,only_old
070959,2013,only_old
070820,2011,only_old
080131,2013,only_old
080720,2012,only_old
090240,2012,only_old
080830,2011,only_old
081040,2012,only_old
081090,2019,only_old
090122,2021,only_old
070960,2011,only_old
080121,2013,only_old
070920,2014,only_old
121291,2013,only_old
081020,2014,only_old
070610,2014,only_old
080310,2011,only_old
080251,2012,only_old
080119,2012,only_old
070993,2014,only_old
081090,2014,only_old
071430,2013,only_old
070511,2014,only_old
090240,2014,only_old
071331,2023,only_old
071331,2022,only_old
120400,2014,only_old
071420,2013,only_old
100390,2012,only_old
080590,2020,only_old
090210,2014,only_old
120510,2012,only_old
090220,2012,only_old
080940,2013,only_old
080280,2011,only_old
