eu_code,tên sản phẩm,annex1_legal_ref,hs6 hiện tại,đánh giá,mã HS6 đúng đề xuất (nếu sai/ngờ),lý do + nguồn dẫn,hs6_current_desc,hs6_proposed_desc,source_concordance_url,source_hs2012_url,source_annex1_url,original_annex1_group,original_note
300040,Lupins/lupini beans,0300040 Lupins/lupini beans | Lupinus albus subsp. albus; Lupinus angustifolius; Lupinus luteus; Lupinus mutabilis,071331,SAI,071390,"Lupins/lupini là Lupinus, không phải Vigna mungo/radiata; 071390 là đậu khô n.e.c. phù hợp hơn. Nguồn EU/loài: 0300040 Lupins/lupini beans | Lupinus albus subsp. albus; Lupinus angustifolius; Lupinus luteus; Lupinus mutabilis. HS2012 hiện tại: 071331: Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried. HS2012 đề xuất: 071390: Vegetables, leguminous: n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried.","071331: Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, shelled, whether or not skinned or split, dried","071390: Vegetables, leguminous: n.e.c. in heading no. 0713, shelled, whether or not skinned or split, dried",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,03xxxxx Đậu/pulses,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
252020,Purslanes,0252020 Purslanes | Portulaca oleracea,070930,SAI,070999,"Purslane là rau ăn lá khác; 070930 là aubergines/eggplants. Nguồn EU/loài: 0252020 Purslanes | Portulaca oleracea. HS2012 hiện tại: 070930: Vegetables: aubergines, (e.g. plants), fresh or chilled. HS2012 đề xuất: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070930: Vegetables: aubergines, (e.g. plants), fresh or chilled","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | LUMP_CERTIFIED 2026-06-29: gộp-cùng-họ (không có HS6 riêng), GIỮ theo chuẩn Ferro2015/Shingal2024 → Limitations"
250000,"Leaf vegetables, herbs and edible flowers","0250000 Leaf vegetables, herbs and edible flowers",,NGỜ,,"Nhóm leaf vegetables/herbs/edible flowers không có một HS6 đơn; phải dùng mã con hoặc xác định scope. Nguồn EU/loài: 0250000 Leaf vegetables, herbs and edible flowers. HS2012 hiện tại: (trống).",(trống),,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
280020,Wild fungi,0280020 Wild fungi,070960,SAI,070959,"Wild fungi là mushrooms/truffles khác Agaricus; 070960 là Capsicum/Pimenta. Nguồn EU/loài: 0280020 Wild fungi. HS2012 hiện tại: 070960: Vegetables: fruits of the genus capsicum or of the genus pimenta, fresh or chilled. HS2012 đề xuất: 070959: Vegetables: truffles and mushrooms (other than of the genus Agaricus), fresh or chilled.","070960: Vegetables: fruits of the genus capsicum or of the genus pimenta, fresh or chilled","070959: Vegetables: truffles and mushrooms (other than of the genus Agaricus), fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
213060,Parsnips,0213060 Parsnips | Pastinaca sativa,070610,SAI,070690,"Parsnips là edible roots khác; 070610 chỉ carrots/turnips. Nguồn EU/loài: 0213060 Parsnips | Pastinaca sativa. HS2012 hiện tại: 070610: Vegetables, root: carrots and turnips, fresh or chilled. HS2012 đề xuất: 070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled.","070610: Vegetables, root: carrots and turnips, fresh or chilled","070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | LUMP_CERTIFIED 2026-06-29: gộp-cùng-họ (không có HS6 riêng), GIỮ theo chuẩn Ferro2015/Shingal2024 → Limitations"
211000,(a) potatoes,0211000  | Solanum tuberosum subsp. tuberosum,070110,SAI,070110;070190,"Potatoes không chỉ seed potatoes; cần cả seed và potatoes khác fresh/chilled. Nguồn EU/loài: 0211000  | Solanum tuberosum subsp. tuberosum. HS2012 hiện tại: 070110: Vegetables: seed potatoes, fresh or chilled. HS2012 đề xuất: 070110: Vegetables: seed potatoes, fresh or chilled | 070190: Vegetables: potatoes (other than seed), fresh or chilled.","070110: Vegetables: seed potatoes, fresh or chilled","070110: Vegetables: seed potatoes, fresh or chilled | 070190: Vegetables: potatoes (other than seed), fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
256050,Sage,0256050 Sage | Salvia officinalis,070999,ĐÚNG,,"Mã HS2012 hiện tại hợp lệ và mô tả khớp/đủ gần với sản phẩm Annex hoặc là mã NEC hợp lý trong cùng nhóm. Nguồn EU/loài: 0256050 Sage | Salvia officinalis. HS2012 hiện tại: 070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled.","070999: Vegetables: edible, n.e.c. in chapter 07, fresh or chilled",,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN | REANCHOR 070951->070999: sage herb không phải mushroom"
213030,Celeriacs/turnip rooted celeries,0213030 Celeriacs/turnip rooted celeries | Apium graveolens var. rapaceum,070610,SAI,070690,"Celeriac được mô tả trong 070690; 070610 chỉ carrots/turnips. Nguồn EU/loài: 0213030 Celeriacs/turnip rooted celeries | Apium graveolens var. rapaceum. HS2012 hiện tại: 070610: Vegetables, root: carrots and turnips, fresh or chilled. HS2012 đề xuất: 070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled.","070610: Vegetables, root: carrots and turnips, fresh or chilled","070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
244000,(d) kohlrabies,"0244000 Whole product after removal of roots, tops and soil | Brassica oleracea var. gongylodes",070690,SAI,070490,"Kohlrabi là Brassica oleracea; mã phù hợp hơn là brassica n.e.c. 070490, không phải root vegetables 070690. Nguồn EU/loài: 0244000 Whole product after removal of roots, tops and soil | Brassica oleracea var. gongylodes. HS2012 hiện tại: 070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled. HS2012 đề xuất: 070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled.","070690: Vegetables, root: salad beetroot, salsify, celeric, radishes and similar edible roots, fresh or chilled","070490: Vegetables, brassica: edible, n.e.c. in heading no. 0704, fresh or chilled",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,02xxxxx Rau,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
830990,Others (2),0830990 Others ( 2 ),090619,NGỜ,090619;090620;091099,"Others under bark spices không an toàn với 090619 alone; form/species có thể cần 090620 hoặc spice NEC. Nguồn EU/loài: 0830990 Others ( 2 ). HS2012 hiện tại: 090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground. HS2012 đề xuất: 090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground | 090620: Spices: cinnamon and cinnamon-tree flowers, crushed or ground | 091099: Spices: n.e.c. in heading no. 0910.","090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground","090619: Spices: cinnamon and cinnamon-tree flowers, other than cinnamon (Cinnamomum zeylanicum Blume), neither crushed nor ground | 090620: Spices: cinnamon and cinnamon-tree flowers, crushed or ground | 091099: Spices: n.e.c. in heading no. 0910",https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/data/concordance_final_asean.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/product_codes_HS12_V202601.csv,https://raw.githubusercontent.com/tranphu1508/XxX123/main/concordance_review_package/sources/annex1_species_to_code.csv,08xxxxx Gia vị,"residual ASEAN — giữ nguyên, hoàn thiện nếu nối lại ASEAN"
