paper,year,journal,topic,relevance_to_HS6_RAC_policy,read_status
Drogue & DeMaria,2012,Food Policy,MRL pesticide trên apples/pears,"CAO — precedent trực tiếp nhất, gồm fresh+processed, HS6, default 0.01",ĐÃ ĐỌC (methodology)
Ferro et al.,2015,Food Policy,Product standards (MRL) → ag trade,"CAO — map 243 sản phẩm→HS6, aggregate MRL theo importer-product",ĐÃ ĐỌC
Shingal et al.,2024,Food Policy,EU pesticides MRL harmonization,"CAO — mỗi product→HS6, focus HS ch7",ĐÃ ĐỌC
Fiankor et al.,2021,J Agric Econ,Heterogeneous effects standards,"TRUNG BÌNH — HS6, aggregate country",ĐÃ ĐỌC (1 phần)
Curzi et al.,2020,Food Policy,"Standards, trade margins, quality","TRUNG BÌNH — HS6-digit, firm price/quality",ĐÃ ĐỌC (1 phần)
Fiankor et al.,2025,J Agric Econ,Pesticide regulatory homogeneity,"CAO — chủ đề sát, chưa đọc fulltext",CHỜ ĐỌC
Li & Beghin,2014,Food Policy,Protectionism indices NTM,TRUNG BÌNH,CHỜ ĐỌC
Xiong & Beghin,2014,Econ Inquiry,Disentangle demand/trade-cost MRL,CAO (đã dùng cho framing),ĐÃ ĐỌC (abstract)
Otsuki et al.,2001,Food Policy,Aflatoxin MRL → African exports,TRUNG BÌNH,CHỜ ĐỌC
Disdier et al.,2008,AJAE,Impact SPS/TBT regulations,TRUNG BÌNH,CHỜ ĐỌC
Santeramo & Lamonaca,2019,J Agric Econ,Meta-analysis NTM ag trade,TRUNG BÌNH,CHỜ ĐỌC
Crivelli & Gröschl,2016,World Economy,SPS market entry trade flows,THẤP,CHỜ ĐỌC
Olper & Raimondi,2014,Econ Letters,Food standards & EU imports,THẤP,CHỜ ĐỌC
Nguyen,2026,Agribusiness,ĐỐI THỦ trực tiếp VN coffee/rice MRL,CAO NHẤT — xác nhận green coffee 97.6% + milled rice 97.9%,ĐÃ ĐỌC (methodology+kết quả)
Hejazi/Grant/Peterson,2022,Food Policy 106:102203,Trade impact MRL fresh fruits & vegetables,"CAO — fresh-FFV methodology, BSI stringency",ĐÃ ĐỌC
