parent_code,group_name,sub_code,product_name,scientific_name
0100000,"FRUITS, FRESH or FROZEN; TREE NUTS",,,
0110000,Citrus fruits,,,
0110010,Grapefruits,,,Citrus paradisi
0110010,Grapefruits,0110010-001,Natsudaidais,Citrus natsudaidai
0110010,Grapefruits,0110010-002,Shaddocks/pomelos,Citrus maxima ; syn: Citrus grandis
0110010,Grapefruits,0110010-003,Sweeties/oroblancos,Citrus grandis x Citrus paradisi
0110010,Grapefruits,0110010-004,Tangelolos,Citrus paradisi x tangelo
0110010,Grapefruits,0110010-005,Tangelos (except minneolas)/Ugli®,Citrus tangelo
0110010,Grapefruits,0110010-990,,"Other hybrids of Citrus paradisi , not elsewhere mentioned"
0110020,Oranges,,,Citrus sinensis
0110020,Oranges,0110020-001,Bergamots,Citrus bergamia
0110020,Oranges,0110020-002,Bitter oranges/sour oranges,Citrus aurantium
0110020,Oranges,0110020-003,Blood oranges,Citrus sinensis
0110020,Oranges,0110020-004,Cara caras,Citrus sinensis
0110020,Oranges,0110020-005,Chinottos,Citrus myrtifolia
0110020,Oranges,0110020-006,Trifoliate oranges,Poncirus trifoliata
0110020,Oranges,0110020-990,,"Other hybrids of Citrus sinensis , not elsewhere mentioned"
0110030,Lemons,,,Citrus limon
0110030,Lemons,0110030-001,Buddha's hands/Buddha's fingers,Citrus medica var. sarcodactyla
0110030,Lemons,0110030-002,Citrons,Citrus medica
0110040,Limes,,,Citrus aurantiifolia
0110040,Limes,0110040-001,Indian sweet limes/Palestine sweet limes,Citrus limettioides
0110040,Limes,0110040-002,Kaffir limes,Citrus hystrix
0110040,Limes,0110040-003,Sweet limes/mosambis,Citrus limetta
0110040,Limes,0110040-004,Tahiti limes,Citrus latifolia
0110040,Limes,0110040-005,Limequats,Citrus aurantiifolia x Fortunella spp.
0110050,Mandarins,,,Citrus reticulata ; syn: Citrus deliciosa
0110050,Mandarins,0110050-001,Calamondins,Citrus madurensis
0110050,Mandarins,0110050-002,Clementines,Citrus clementina
0110050,Mandarins,0110050-003,Cleopatra mandarins,Citrus reshni
0110050,Mandarins,0110050-004,Minneolas,Citrus tangelo
0110050,Mandarins,0110050-005,Satsumas/clausellinas,Citrus unshiu
0110050,Mandarins,0110050-006,Tangerines/dancy mandarins,Citrus tangerina
0110050,Mandarins,0110050-007,Tangors,Citrus nobilis
0110050,Mandarins,0110050-990,,"Other hybrids of Citrus reticulata , not elsewhere mentioned"
0110990,Others ( 2 ),,,
0120000,Tree nuts,,,
0120010,Almonds,,,Amygdalus communis ; syn: Prunus dulcis
0120010,Almonds,0120010-001,Apricot kernels,Armeniaca vulgaris ; syn: Prunus armeniaca
0120010,Almonds,0120010-002,Bitter almonds,Amygdalus communis var. amara ; syn: Prunus dulcis
0120010,Almonds,0120010-003,Canarium nuts/galip nuts,Canarium harveyi
0120010,Almonds,0120010-004,Okari nuts,Terminalia kaernbachii
0120010,Almonds,0120010-005,Pili nuts,Canarium ovatum
0120020,Brazil nuts,,,Bertholletia excelsa
0120030,Cashew nuts,,,Anacardium occidentale
0120040,Chestnuts,,,Castanea crenata; Castanea dentata; Castanea mollissima; Castanea sativa
0120050,Coconuts,,,Cocos nucifera
0120050,Coconuts,0120050-001,Areca nuts/betel nuts,Areca catechu
0120060,Hazelnuts/cobnuts,,,Corylus avellana
0120060,Hazelnuts/cobnuts,0120060-001,Acorns,Quercus spp.
0120060,Hazelnuts/cobnuts,0120060-002,Filberts,Corylus maxima
0120070,Macadamias,,,Macadamia ternifolia ; syn: Macadamia integrifolia; Macadamia tetraphylla
0120080,Pecans,,,Carya illinoinensis
0120080,Pecans,0120080-001,Hickory nuts,Carya ovata
0120090,Pine nut kernels,,,Pinus pinea
0120090,Pine nut kernels,0120090-001,,Pine nut kernels from other species than Pinus pinea; Pinus cembra
0120090,Pine nut kernels,0120090-002,,Pinus gerardiana
0120090,Pine nut kernels,0120090-003,,Pinus koraiensis
0120090,Pine nut kernels,0120090-004,,Pinus sibirica
0120090,Pine nut kernels,0120090-005,,Pinus pumila
0120090,Pine nut kernels,0120090-006,,Pinus yunnanensis
0120090,Pine nut kernels,0120090-007,,Pinus wallichiana
0120090,Pine nut kernels,0120090-990,,"Other species of genus Pinus , not elsewhere mentioned"
0120100,Pistachios,,,Pistacia vera
0120110,Walnuts,,,Juglans nigra; Juglans regia
0120990,Others ( 2 ),,,
0130000,Pome fruits,,,
0130010,Apples,,,Malus domestica
0130010,Apples,0130010-001,Crab apples/wild apples,Malus sylvestris
0130010,Apples,0130010-002,Tejocotes,Crataegus mexicana
0130020,Pears,,,Pyrus communis
0130020,Pears,0130020-001,Nashi pears/Oriental pears,Pyrus pyrifolia
0130020,Pears,0130020-002,Wild pears,Pyrus pyraster
0130020,Pears,0130020-003,Ya pears/Chinese white pears,Pyrus bretschneideri
0130030,Quinces,,,Cydonia oblonga
0130030,Quinces,0130030-001,Chinese quinces,Pseudocydonia sinensis
0130030,Quinces,0130030-002,Japanese quinces,Chaenomeles japonica
0130040,Medlars,,,Mespilus germanica
0130050,Loquats/Japanese medlars,,,Eriobotrya japonica
0130990,Others ( 2 ),,,
0140000,Stone fruits,,,
0140010,Apricots,,,Armeniaca vulgaris ; syn: Prunus armeniaca
0140010,Apricots,0140010-001,Japanese apricots/Umes,Prunus mume
0140010,Apricots,0140010-002,Nectacots,Prunus armeniaca x Prunus persica var. nucipersica
0140020,Cherries (sweet),,,Cerasus avium ; syn: Prunus avium
0140020,Cherries (sweet),0140020-001,Black cherries,Prunus serotina var. serotina
0140020,Cherries (sweet),0140020-002,Capulins,Prunus serotina var. capuli
0140020,Cherries (sweet),0140020-003,Chokecherries,Prunus virginiana
0140020,Cherries (sweet),0140020-004,Cornelian cherries/European corniols,Cornus mas
0140020,Cherries (sweet),0140020-005,Nanking cherries,Prunus tomentosa
0140020,Cherries (sweet),0140020-006,Sour cherries/morello cherries,Cerasus vulgaris ; syn: Prunus cerasus
0140030,Peaches,,,Persica vulgaris ; syn: Prunus persica
0140030,Peaches,0140030-001,Flat peaches/saturn peaches/paraguayas,Prunus persica var. platycarpa
0140030,Peaches,0140030-002,Nectarines,Persica vulgaris var. nectarina ; syn: Prunus persica var. nucipersica
0140030,Peaches,0140030-990,,"Other hybrids of Persica vulgaris ; syn: Prunus persica , not elsewhere mentioned"
0140040,Plums,,,Prunus domestica
0140040,Plums,0140040-001,American plums,Prunus americana
0140040,Plums,0140040-002,Beach plums,Prunus maritima
0140040,Plums,0140040-003,Cherry plums /myrabolans,Prunus cerasifera
0140040,Plums,0140040-004,Chickasaw plums,Prunus angustifolia
0140040,Plums,0140040-005,Chinese jujubes/red dates/Chinese dates,Ziziphus jujuba ; syn: Ziziphus zizyphus
0140040,Plums,0140040-006,Damsons/ bullaces,Prunus domestica subsp. rotunda ; syn: Prunus domestica subsp. italica
0140040,Plums,0140040-007,Gages/greengages/Reine Claudes,Prunus domestica var. italica ; syn: Prunus domestica subsp. rotunda
0140040,Plums,0140040-008,Japanese plums,Prunus salicina
0140040,Plums,0140040-009,Klamath plums,Prunus subcoradata
0140040,Plums,0140040-010,Mirabelles,Prunus domestica subsp. syriaca
0140040,Plums,0140040-011,Plumcots,Prunus domestica x Prunus armeniaca
0140040,Plums,0140040-012,Prunus Nadia®,Prunus salicina x Prunus avium
0140040,Plums,0140040-013,Sloes/blackthorne berries,Prunus spinosa
0140990,Others ( 2 ),,,
0150000,Berries and small fruits,,,
0151000,,,,
0151010,Table grapes,,,Vitis vinifera
0151010,Table grapes,0151010-001,Kiwiberries/dwarf kiwi,Actinidia arguta
0151010,Table grapes,0151010-002,Schisandra berries,Schisandra chinensis
0151020,Wine grapes,,,Vitis vinifera
0151020,Wine grapes,0151020-001,Amur river grapes,Vitis amurensis
0151020,Wine grapes,0151020-002,Muscadine grapes,Vitis rotundifolia
0152000,,,,Fragaria x ananassa
0152000,Strawberries,0152000-001,Musky strawberries,Fragaria moschata
0152000,Strawberries,0152000-002,Wild strawberries,Fragaria vesca
0153000,,,,
0153010,Blackberries,,,Rubus sect. Rubus
0153020,Dewberries,,,Rubus caesius
